pos,Magnetic_Field,Electric_Field
0,0.00000,0.00000
1,0.00000,0.00000
2,0.00000,0.00000
3,0.00000,0.00000
4,0.00000,0.00000
5,0.00000,0.00000
6,0.00000,0.00000
7,0.00000,0.00000
8,0.00000,0.00000
9,0.00000,0.00012
10,0.00000,0.00010
11,0.00000,0.00029
12,0.00000,0.00039
13,0.00000,0.00077
14,0.00000,0.00116
15,0.00001,0.00199
16,0.00001,0.00305
17,0.00001,0.00486
18,0.00002,0.00730
19,0.00003,0.01102
20,0.00004,0.01603
21,0.00006,0.02313
22,0.00009,0.03245
23,0.00012,0.04486
24,0.00016,0.06054
25,0.00021,0.08032
26,0.00028,0.10420
27,0.00035,0.13273
28,0.00044,0.16547
29,0.00054,0.20241
30,0.00064,0.24245
31,0.00076,0.28484
32,0.00087,0.32778
33,0.00098,0.36989
34,0.00108,0.40891
35,0.00118,0.44324
36,0.00125,0.47070
37,0.00130,0.49009
38,0.00133,0.49996
39,0.00133,0.50004
40,0.00130,0.49001
41,0.00125,0.47078
42,0.00118,0.44315
43,0.00108,0.40900
44,0.00098,0.36980
45,0.00087,0.32787
46,0.00076,0.28475
47,0.00064,0.24254
48,0.00054,0.20232
49,0.00044,0.16556
50,0.00035,0.13264
51,0.00028,0.10429
52,0.00021,0.08023
53,0.00016,0.06063
54,0.00012,0.04477
55,0.00009,0.03253
56,0.00006,0.02304
57,0.00004,0.01612
58,0.00003,0.01093
59,0.00002,0.00739
60,0.00001,0.00477
61,0.00001,0.00314
62,0.00001,0.00190
63,0.00000,0.00125
64,0.00000,0.00068
65,0.00000,0.00048
66,0.00000,0.00021
67,0.00000,0.00019
68,0.00000,0.00004
69,0.00000,0.00009
70,-0.00000,-0.00002
71,0.00000,0.00006
72,-0.00000,-0.00004
73,0.00000,0.00005
74,-0.00000,-0.00004
75,0.00000,0.00004
76,-0.00000,-0.00004
77,0.00000,0.00004
78,-0.00000,-0.00004
79,0.00000,0.00004
80,-0.00000,-0.00004
81,0.00000,0.00004
82,-0.00000,-0.00004
83,0.00000,0.00004
84,-0.00000,-0.00004
85,0.00000,0.00004
86,-0.00000,-0.00004
87,0.00000,0.00004
88,-0.00000,-0.00004
89,0.00000,0.00004
90,-0.00000,-0.00004
91,0.00000,0.00004
92,-0.00000,-0.00004
93,0.00000,0.00004
94,-0.00000,-0.00004
95,0.00000,0.00004
96,-0.00000,-0.00004
97,0.00000,0.00004
98,-0.00000,-0.00004
99,0.00000,0.00004
100,-0.00000,-0.00004
101,0.00000,0.00004
102,-0.00000,-0.00004
103,0.00000,0.00004
104,-0.00000,-0.00004
105,0.00000,0.00004
106,-0.00000,-0.00004
107,0.00000,0.00004
108,-0.00000,-0.00004
109,0.00000,0.00004
110,-0.00000,-0.00004
111,0.00000,0.00004
112,-0.00000,-0.00004
113,0.00000,0.00004
114,-0.00000,-0.00004
115,0.00000,0.00004
116,-0.00000,-0.00004
117,0.00000,0.00004
118,-0.00000,-0.00004
119,0.00000,0.00004
120,-0.00000,-0.00004
121,0.00000,0.00004
122,-0.00000,-0.00004
123,0.00000,0.00004
124,-0.00000,-0.00004
125,0.00000,0.00004
126,-0.00000,-0.00004
127,0.00000,0.00005
128,-0.00000,-0.00004
129,0.00000,0.00006
130,-0.00000,-0.00002
131,-0.00000,0.00009
132,-0.00000,0.00004
133,-0.00000,0.00019
134,-0.00000,0.00021
135,-0.00000,0.00048
136,-0.00000,0.00068
137,-0.00001,0.00125
138,-0.00001,0.00190
139,-0.00001,0.00314
140,-0.00002,0.00477
141,-0.00003,0.00739
142,-0.00004,0.01093
143,-0.00006,0.01612
144,-0.00009,0.02304
145,-0.00012,0.03253
146,-0.00016,0.04477
147,-0.00021,0.06063
148,-0.00028,0.08023
149,-0.00035,0.10429
150,-0.00044,0.13264
151,-0.00054,0.16556
152,-0.00064,0.20232
153,-0.00076,0.24254
154,-0.00087,0.28475
155,-0.00098,0.32787
156,-0.00108,0.36980
157,-0.00118,0.40900
158,-0.00125,0.44315
159,-0.00130,0.47078
160,-0.00133,0.49001
161,-0.00133,0.50004
162,-0.00130,0.49996
163,-0.00125,0.49009
164,-0.00118,0.47070
165,-0.00108,0.44324
166,-0.00098,0.40891
167,-0.00087,0.36989
168,-0.00076,0.32778
169,-0.00064,0.28484
170,-0.00054,0.24245
171,-0.00044,0.20241
172,-0.00035,0.16547
173,-0.00028,0.13273
174,-0.00021,0.10420
175,-0.00016,0.08032
176,-0.00012,0.06054
177,-0.00009,0.04486
178,-0.00006,0.03245
179,-0.00004,0.02313
180,-0.00003,0.01603
181,-0.00002,0.01102
182,-0.00001,0.00730
183,-0.00001,0.00486
184,-0.00001,0.00305
185,-0.00000,0.00199
186,-0.00000,0.00116
187,-0.00000,0.00077
188,-0.00000,0.00039
189,-0.00000,0.00029
190,-0.00000,0.00010
191,0.00000,0.00012
192,0.00000,0.00000
193,0.00000,0.00000
194,0.00000,0.00000
195,0.00000,0.00000
196,0.00000,0.00000
197,0.00000,0.00000
198,0.00000,0.00000
