pos,Magnetic_Field,Electric_Field
0,-0.00003,-0.01294
1,-0.00003,-0.01283
2,-0.00003,-0.01273
3,-0.00003,-0.01262
4,-0.00003,-0.01252
5,-0.00003,-0.01242
6,-0.00003,-0.01232
7,-0.00003,-0.01222
8,-0.00003,-0.01212
9,-0.00003,-0.01203
10,-0.00003,-0.01193
11,-0.00003,-0.01183
12,-0.00003,-0.01174
13,-0.00003,-0.01165
14,-0.00003,-0.01156
15,-0.00003,-0.01147
16,-0.00003,-0.01138
17,-0.00003,-0.01129
18,-0.00003,-0.01120
19,-0.00003,-0.01111
20,-0.00003,-0.01103
21,-0.00003,-0.01094
22,-0.00003,-0.01086
23,-0.00003,-0.01078
24,-0.00003,-0.01070
25,-0.00003,-0.01061
26,-0.00003,-0.01053
27,-0.00003,-0.01045
28,-0.00003,-0.01038
29,-0.00003,-0.01030
30,-0.00003,-0.01022
31,-0.00003,-0.01015
32,-0.00003,-0.01007
33,-0.00003,-0.01000
34,-0.00003,-0.00992
35,-0.00003,-0.00985
36,-0.00003,-0.00978
37,-0.00003,-0.00971
38,-0.00003,-0.00964
39,-0.00003,-0.00957
40,-0.00003,-0.00950
41,-0.00003,-0.00943
42,-0.00002,-0.00936
43,-0.00002,-0.00929
44,-0.00002,-0.00923
45,-0.00002,-0.00916
46,-0.00002,-0.00910
47,-0.00002,-0.00903
48,-0.00002,-0.00897
49,-0.00002,-0.00891
50,-0.00002,-0.00884
51,-0.00002,-0.00878
52,-0.00002,-0.00872
53,-0.00002,-0.00866
54,-0.00002,-0.00860
55,-0.00002,-0.00854
56,-0.00002,-0.00848
57,-0.00002,-0.00842
58,-0.00002,-0.00837
59,-0.00002,-0.00831
60,-0.00002,-0.00825
61,-0.00002,-0.00820
62,-0.00002,-0.00814
63,-0.00002,-0.00809
64,-0.00002,-0.00803
65,-0.00002,-0.00798
66,-0.00002,-0.00793
67,-0.00002,-0.00787
68,-0.00002,-0.00782
69,-0.00002,-0.00777
70,-0.00002,-0.00772
71,-0.00002,-0.00767
72,-0.00002,-0.00762
73,-0.00002,-0.00757
74,-0.00002,-0.00752
75,-0.00002,-0.00747
76,-0.00002,-0.00742
77,-0.00002,-0.00738
78,-0.00002,-0.00733
79,-0.00002,-0.00728
80,-0.00002,-0.00724
81,-0.00002,-0.00719
82,-0.00002,-0.00715
83,-0.00002,-0.00710
84,-0.00002,-0.00706
85,-0.00002,-0.00701
86,-0.00002,-0.00697
87,-0.00002,-0.00692
88,-0.00002,-0.00688
89,-0.00002,-0.00684
90,-0.00002,-0.00680
91,-0.00002,-0.00676
92,-0.00002,-0.00671
93,-0.00002,-0.00667
94,-0.00002,-0.00663
95,-0.00002,-0.00659
96,-0.00002,-0.00655
97,-0.00002,-0.00651
98,-0.00002,-0.00647
99,-0.00002,-0.00644
100,-0.00002,-0.00640
101,-0.00002,-0.00635
102,-0.00002,-0.00631
103,-0.00003,-0.00626
104,-0.00003,-0.00621
105,-0.00003,-0.00615
106,-0.00003,-0.00609
107,-0.00003,-0.00603
108,-0.00004,-0.00596
109,-0.00004,-0.00589
110,-0.00004,-0.00581
111,-0.00004,-0.00574
112,-0.00004,-0.00566
113,-0.00005,-0.00557
114,-0.00005,-0.00548
115,-0.00005,-0.00539
116,-0.00005,-0.00530
117,-0.00005,-0.00521
118,-0.00005,-0.00511
119,-0.00006,-0.00500
120,-0.00006,-0.00490
121,-0.00006,-0.00479
122,-0.00006,-0.00468
123,-0.00006,-0.00457
124,-0.00006,-0.00445
125,-0.00007,-0.00434
126,-0.00007,-0.00422
127,-0.00007,-0.00410
128,-0.00007,-0.00397
129,-0.00007,-0.00385
130,-0.00007,-0.00372
131,-0.00008,-0.00359
132,-0.00008,-0.00346
133,-0.00008,-0.00332
134,-0.00008,-0.00319
135,-0.00008,-0.00305
136,-0.00008,-0.00291
137,-0.00008,-0.00277
138,-0.00008,-0.00263
139,-0.00008,-0.00249
140,-0.00009,-0.00235
141,-0.00009,-0.00220
142,-0.00009,-0.00206
143,-0.00009,-0.00191
144,-0.00009,-0.00177
145,-0.00009,-0.00163
146,-0.00009,-0.00148
147,-0.00009,-0.00132
148,-0.00009,-0.00118
149,-0.00009,-0.00103
150,-0.00009,-0.00088
151,-0.00009,-0.00074
152,-0.00009,-0.00060
153,-0.00009,-0.00043
154,-0.00009,-0.00029
155,-0.00009,-0.00017
156,-0.00009,0.00001
157,-0.00009,0.00017
158,-0.00009,0.00026
159,-0.00010,0.00040
160,-0.00010,0.00062
161,-0.00009,0.00076
162,-0.00009,0.00078
163,-0.00010,0.00093
164,-0.00010,0.00125
165,-0.00009,0.00141
166,-0.00009,0.00126
167,-0.00009,0.00128
168,-0.00010,0.00179
169,-0.00010,0.00231
170,-0.00009,0.00209
171,-0.00008,0.00134
172,-0.00009,0.00129
173,-0.00010,0.00262
174,-0.00011,0.00432
175,-0.00009,0.00438
176,-0.00006,0.00191
177,-0.00004,-0.00158
178,-0.00006,-0.00296
179,-0.00011,0.00035
180,-0.00019,0.00856
181,-0.00027,0.01939
182,-0.00032,0.02942
183,-0.00034,0.03579
184,-0.00032,0.03730
185,-0.00027,0.03443
186,-0.00021,0.02873
187,-0.00015,0.02197
188,-0.00010,0.01554
189,-0.00006,0.01025
190,-0.00004,0.00634
191,-0.00002,0.00370
192,-0.00001,0.00204
193,-0.00001,0.00107
194,-0.00000,0.00053
195,-0.00000,0.00025
196,-0.00000,0.00011
197,-0.00000,0.00005
198,-0.00000,0.00002
