pos,Magnetic_Field,Electric_Field
0,0.00071,0.06749
1,0.00061,0.16139
2,0.00093,0.28412
3,0.00088,0.23006
4,0.00071,0.30710
5,0.00097,0.40938
6,0.00085,0.33180
7,0.00062,0.38281
8,0.00082,0.45721
9,0.00064,0.35057
10,0.00036,0.37207
11,0.00051,0.41722
12,0.00029,0.28233
13,-0.00002,0.27725
14,0.00012,0.29817
15,-0.00011,0.14198
16,-0.00043,0.11907
17,-0.00028,0.12606
18,-0.00049,-0.03983
19,-0.00078,-0.06796
20,-0.00060,-0.06157
21,-0.00076,-0.22344
22,-0.00100,-0.24301
23,-0.00076,-0.22377
24,-0.00086,-0.36877
25,-0.00103,-0.36791
26,-0.00073,-0.32514
27,-0.00077,-0.44413
28,-0.00088,-0.41537
29,-0.00052,-0.34355
30,-0.00051,-0.43302
31,-0.00057,-0.37502
32,-0.00017,-0.27495
33,-0.00013,-0.33784
34,-0.00018,-0.25561
35,0.00023,-0.13424
36,0.00027,-0.17930
37,0.00022,-0.08314
38,0.00061,0.04793
39,0.00063,0.00808
40,0.00054,0.10485
41,0.00088,0.23190
42,0.00084,0.18351
43,0.00070,0.26741
44,0.00098,0.37760
45,0.00088,0.30876
46,0.00067,0.36915
47,0.00089,0.45332
48,0.00073,0.35661
49,0.00046,0.38793
50,0.00063,0.44258
51,-0.00210,1.20763
52,-0.00251,1.27076
53,-0.00240,1.33548
54,-0.00260,1.19761
55,-0.00282,1.16707
56,-0.00252,1.14069
57,-0.00276,0.82706
58,-0.00256,0.80376
59,-0.00204,0.71771
60,-0.00216,0.32487
61,-0.00184,0.23915
62,-0.00118,0.12051
63,-0.00115,-0.28094
64,-0.00071,-0.36257
65,0.00001,-0.46990
66,0.00007,-0.85020
67,0.00051,-0.89529
68,0.00122,-0.94842
69,0.00124,-1.25984
70,0.00161,-1.22684
71,0.00222,-1.19668
72,0.00210,-1.42061
73,0.00231,-1.29552
74,0.00275,-1.16945
75,0.00246,-1.29675
76,0.00249,-1.07850
77,0.00273,-0.86615
78,0.00225,-0.91564
79,0.00209,-0.62862
80,0.00215,-0.35739
81,0.00150,-0.35971
82,0.00120,-0.03944
83,0.00114,0.24966
84,0.00039,0.24965
85,0.00002,0.55742
86,-0.00008,0.82005
87,-0.00084,0.78005
88,-0.00120,1.03468
89,-0.00125,1.23186
90,-0.00193,1.11588
91,-0.00218,1.28634
92,-0.00210,1.39364
93,-0.00264,1.18417
94,-0.00272,1.25945
95,-0.00246,1.27188
96,-0.00281,0.97024
97,-0.00270,0.95865
98,-0.00225,0.89192
99,-0.00240,0.52079
100,-0.00105,0.45081
101,0.00013,0.22690
102,0.00119,0.01418
103,0.00203,-0.18183
104,0.00258,-0.34000
105,0.00282,-0.45118
106,0.00275,-0.50596
107,0.00242,-0.50697
108,0.00186,-0.45780
109,0.00119,-0.36746
110,0.00044,-0.25171
111,-0.00028,-0.12012
112,-0.00091,0.00978
113,-0.00140,0.12495
114,-0.00171,0.21937
115,-0.00182,0.28231
116,-0.00175,0.30957
117,-0.00154,0.30595
118,-0.00119,0.27424
119,-0.00075,0.21667
120,-0.00029,0.14154
121,0.00013,0.06102
122,0.00048,-0.01461
123,0.00073,-0.07873
124,0.00088,-0.12738
125,0.00093,-0.15822
126,0.00087,-0.17041
127,0.00074,-0.16470
128,0.00054,-0.14342
129,0.00030,-0.11018
130,0.00005,-0.06937
131,-0.00018,-0.02576
132,-0.00037,0.01614
133,-0.00051,0.05233
134,-0.00059,0.07985
135,-0.00061,0.09680
136,-0.00057,0.10254
137,-0.00048,0.09760
138,-0.00036,0.08348
139,-0.00021,0.06247
140,-0.00006,0.03730
141,0.00008,0.01084
142,0.00019,-0.01415
143,0.00027,-0.03538
144,0.00031,-0.05109
145,0.00032,-0.06028
146,0.00029,-0.06266
147,0.00023,-0.05863
148,0.00015,-0.04923
149,0.00006,-0.03585
150,-0.00003,-0.02022
151,-0.00011,-0.00408
152,-0.00018,0.01095
153,-0.00022,0.02349
154,-0.00025,0.03255
155,-0.00025,0.03760
156,-0.00022,0.03849
157,-0.00019,0.03559
158,-0.00014,0.02951
159,-0.00008,0.02116
160,-0.00003,0.01163
161,0.00002,0.00192
162,0.00006,-0.00698
163,0.00009,-0.01424
164,0.00010,-0.01934
165,0.00010,-0.02196
166,0.00008,-0.02207
167,0.00006,-0.01992
168,0.00003,-0.01593
169,-0.00000,-0.01064
170,-0.00004,-0.00474
171,-0.00007,0.00116
172,-0.00009,0.00650
173,-0.00010,0.01074
174,-0.00011,0.01359
175,-0.00010,0.01492
176,-0.00010,0.01465
177,-0.00008,0.01293
178,-0.00006,0.01009
179,-0.00004,0.00644
180,-0.00003,0.00239
181,-0.00001,-0.00153
182,-0.00000,-0.00488
183,0.00001,-0.00737
184,0.00001,-0.00874
185,0.00001,-0.00891
186,0.00001,-0.00806
187,0.00000,-0.00641
188,-0.00000,-0.00414
189,-0.00001,-0.00147
190,-0.00002,0.00129
191,-0.00003,0.00383
192,-0.00003,0.00586
193,-0.00004,0.00713
194,-0.00004,0.00748
195,-0.00004,0.00700
196,-0.00004,0.00585
197,-0.00004,0.00409
198,-0.00004,0.00182
199,0.00000,-0.00067
