pos,Magnetic_Field,Electric_Field
0,-0.00003,-0.00973
1,-0.00002,-0.00653
2,-0.00000,-0.00053
3,0.00001,0.00558
4,0.00002,0.00910
5,0.00002,0.00855
6,0.00001,0.00425
7,-0.00000,-0.00183
8,-0.00002,-0.00697
9,-0.00002,-0.00895
10,-0.00002,-0.00695
11,-0.00001,-0.00193
12,0.00001,0.00383
13,0.00002,0.00780
14,0.00002,0.00826
15,0.00001,0.00507
16,-0.00000,-0.00028
17,-0.00001,-0.00540
18,-0.00002,-0.00805
19,-0.00002,-0.00711
20,-0.00001,-0.00305
21,0.00001,0.00227
22,0.00002,0.00649
23,0.00002,0.00778
24,0.00001,0.00562
25,0.00000,0.00102
26,-0.00001,-0.00394
27,-0.00002,-0.00707
28,-0.00002,-0.00704
29,-0.00001,-0.00390
30,0.00000,0.00089
31,0.00001,0.00521
32,0.00002,0.00716
33,0.00002,0.00592
34,0.00001,0.00209
35,-0.00001,-0.00259
36,-0.00002,-0.00605
37,-0.00002,-0.00678
38,-0.00001,-0.00452
39,-0.00000,-0.00030
40,0.00001,0.00398
41,0.00002,0.00643
42,0.00002,0.00601
43,0.00001,0.00295
44,-0.00000,-0.00136
45,-0.00001,-0.00500
46,-0.00002,-0.00638
47,-0.00001,-0.00492
48,-0.00000,-0.00132
49,0.00001,0.00281
50,0.00001,0.00563
51,0.00002,0.00593
52,0.00001,0.00361
53,-0.00000,-0.00027
54,-0.00001,-0.00396
55,-0.00002,-0.00585
56,-0.00001,-0.00513
57,-0.00001,-0.00216
58,0.00000,0.00172
59,0.00001,0.00478
60,0.00002,0.00569
61,0.00001,0.00407
62,0.00000,0.00069
63,-0.00001,-0.00295
64,-0.00001,-0.00523
65,-0.00001,-0.00517
66,-0.00001,-0.00283
67,0.00000,0.00072
68,0.00001,0.00391
69,0.00001,0.00532
70,0.00001,0.00437
71,0.00000,0.00150
72,-0.00001,-0.00199
73,-0.00001,-0.00455
74,-0.00001,-0.00507
75,-0.00001,-0.00334
76,-0.00000,-0.00017
77,0.00001,0.00304
78,0.00001,0.00486
79,0.00001,0.00451
80,0.00001,0.00218
81,-0.00000,-0.00109
82,-0.00001,-0.00382
83,-0.00001,-0.00484
84,-0.00001,-0.00370
85,-0.00000,-0.00095
86,0.00001,0.00219
87,0.00001,0.00432
88,0.00001,0.00451
89,0.00001,0.00271
90,-0.00000,-0.00026
91,-0.00001,-0.00308
92,-0.00001,-0.00450
93,-0.00001,-0.00392
94,-0.00000,-0.00161
95,0.00000,0.00138
96,0.00001,0.00372
97,0.00001,0.00439
98,0.00001,0.00311
99,0.00000,0.00048
100,-0.00007,-0.00233
101,0.00013,0.00445
102,-0.00019,-0.00737
103,0.00026,0.01160
104,-0.00031,-0.01756
105,0.00036,0.02553
106,-0.00039,-0.03555
107,0.00039,0.04730
108,-0.00036,-0.05996
109,0.00028,0.07213
110,-0.00015,-0.08175
111,-0.00004,0.08616
112,0.00028,-0.08242
113,-0.00054,0.06788
114,0.00078,-0.04097
115,-0.00095,0.00230
116,0.00099,0.04438
117,-0.00085,-0.09161
118,0.00050,0.12862
119,0.00001,-0.14327
120,-0.00059,0.12554
121,0.00109,-0.07216
122,-0.00132,-0.00904
123,0.00115,0.09742
124,-0.00054,-0.16289
125,-0.00034,0.17545
126,0.00116,-0.11943
127,-0.00155,0.00665
128,0.00123,0.11973
129,-0.00025,-0.19823
130,-0.00095,0.17870
131,0.00168,-0.05696
132,-0.00143,-0.10816
133,0.00022,0.21616
134,0.00123,-0.18522
135,-0.00186,0.01947
136,0.00106,0.17115
137,0.00065,-0.23561
138,-0.00189,0.10445
139,0.00146,0.12640
140,0.00040,-0.24994
141,-0.00193,0.13306
142,0.00147,0.12612
143,0.00064,-0.25882
144,-0.00208,0.10286
145,0.00103,0.18019
146,0.00136,-0.24839
147,-0.00201,-0.00291
148,-0.00011,0.25622
149,0.00211,-0.15458
150,-0.00098,-0.17503
151,-0.00169,0.24292
152,0.00165,0.07260
153,0.00116,-0.27125
154,-0.00195,0.00877
155,-0.00078,0.26921
156,0.00204,-0.05433
157,0.00064,-0.26156
158,-0.00201,0.06301
159,-0.00078,0.25933
160,0.00185,-0.03622
161,0.00114,-0.25891
162,-0.00149,-0.02420
163,-0.00159,0.24373
164,0.00082,0.10933
165,0.00192,-0.19207
166,0.00013,-0.19655
167,-0.00193,0.09233
168,-0.00137,0.26269
169,0.00133,0.07088
170,0.00314,-0.27718
171,0.00175,-0.38614
172,-0.00253,-0.06824
173,-0.00746,0.53280
174,-0.01084,1.11168
175,-0.01171,1.43330
176,-0.01044,1.44014
177,-0.00806,1.21711
178,-0.00554,0.89738
179,-0.00347,0.58813
180,-0.00175,0.34383
181,-0.00081,0.16847
182,-0.00035,0.07654
183,-0.00014,0.03244
184,-0.00005,0.01289
185,-0.00002,0.00482
186,-0.00001,0.00170
187,-0.00000,0.00057
188,-0.00000,0.00018
189,-0.00000,0.00005
190,-0.00000,0.00002
191,-0.00000,0.00000
192,-0.00000,0.00000
193,-0.00000,0.00000
194,-0.00000,0.00000
195,-0.00000,0.00000
196,-0.00000,0.00000
197,-0.00000,0.00000
198,-0.00000,0.00000
199,0.00000,0.00000
