pos,Magnetic_Field,Electric_Field
0,-0.00000,-0.00000
1,0.00000,0.00000
2,-0.00000,-0.00000
3,-0.00000,-0.00000
4,0.00000,0.00000
5,-0.00000,-0.00000
6,-0.00000,0.00000
7,-0.00000,-0.00000
8,0.00000,-0.00000
9,-0.00000,-0.00000
10,0.00000,0.00000
11,-0.00000,-0.00000
12,-0.00000,0.00000
13,-0.00000,-0.00000
14,0.00000,-0.00000
15,-0.00000,-0.00000
16,0.00000,0.00000
17,-0.00000,-0.00000
18,0.00000,0.00000
19,-0.00000,-0.00000
20,0.00000,0.00000
21,-0.00000,-0.00000
22,0.00000,0.00000
23,-0.00000,-0.00000
24,0.00000,0.00000
25,-0.00000,-0.00000
26,0.00000,0.00000
27,-0.00000,-0.00000
28,0.00000,0.00000
29,-0.00000,-0.00000
30,0.00000,0.00000
31,-0.00000,-0.00000
32,0.00000,0.00000
33,-0.00031,-0.11829
34,-0.00047,-0.17787
35,-0.00057,-0.21426
36,-0.00066,-0.25068
37,-0.00078,-0.29317
38,-0.00089,-0.33574
39,-0.00098,-0.36990
40,-0.00104,-0.39155
41,-0.00107,-0.40208
42,-0.00107,-0.40491
43,-0.00107,-0.40178
44,-0.00104,-0.39170
45,-0.00099,-0.37264
46,-0.00091,-0.34382
47,-0.00081,-0.30658
48,-0.00070,-0.26329
49,-0.00057,-0.21582
50,-0.00044,-0.16488
51,0.00127,-0.56463
52,0.00173,-0.64159
53,0.00216,-0.70316
54,0.00252,-0.74857
55,0.00282,-0.77715
56,0.00305,-0.78793
57,0.00320,-0.78004
58,0.00327,-0.75330
59,0.00326,-0.70851
60,0.00317,-0.64722
61,0.00299,-0.57120
62,0.00274,-0.48216
63,0.00242,-0.38191
64,0.00204,-0.27268
65,0.00161,-0.15725
66,0.00113,-0.03874
67,0.00063,0.07978
68,0.00010,0.19548
69,-0.00042,0.30577
70,-0.00094,0.40809
71,-0.00144,0.49988
72,-0.00190,0.57870
73,-0.00232,0.64248
74,-0.00268,0.68974
75,-0.00298,0.71948
76,-0.00320,0.73109
77,-0.00335,0.72424
78,-0.00342,0.69899
79,-0.00340,0.65587
80,-0.00331,0.59600
81,-0.00313,0.52099
82,-0.00287,0.43275
83,-0.00255,0.33345
84,-0.00217,0.22543
85,-0.00173,0.11131
86,-0.00125,-0.00606
87,-0.00074,-0.12371
88,-0.00022,-0.23867
89,0.00031,-0.34814
90,0.00083,-0.44947
91,0.00133,-0.54021
92,0.00180,-0.61809
93,0.00221,-0.68113
94,0.00258,-0.72774
95,0.00288,-0.75676
96,0.00311,-0.76754
97,0.00326,-0.75984
98,0.00333,-0.73381
99,0.00331,-0.69006
100,0.00260,-0.62962
101,0.00169,-0.51422
102,0.00070,-0.36094
103,-0.00026,-0.18750
104,-0.00112,-0.01423
105,-0.00179,0.14347
106,-0.00222,0.27007
107,-0.00241,0.35725
108,-0.00234,0.40010
109,-0.00206,0.39741
110,-0.00161,0.35691
111,-0.00105,0.28169
112,-0.00046,0.18762
113,0.00012,0.08199
114,0.00061,-0.02309
115,0.00100,-0.11358
116,0.00124,-0.18857
117,0.00131,-0.23644
118,0.00126,-0.25530
119,0.00107,-0.25219
120,0.00076,-0.22189
121,0.00042,-0.17103
122,0.00007,-0.11392
123,-0.00030,-0.04971
124,-0.00061,0.01820
125,-0.00080,0.07356
126,-0.00093,0.11146
127,-0.00100,0.13971
128,-0.00097,0.15752
129,-0.00081,0.15457
130,-0.00058,0.12814
131,-0.00035,0.08919
132,-0.00018,0.05246
133,-0.00008,0.02635
134,-0.00003,0.01143
135,-0.00001,0.00432
136,-0.00000,0.00143
137,-0.00000,0.00042
138,-0.00000,0.00011
139,-0.00000,0.00003
140,-0.00000,0.00001
141,-0.00000,0.00000
142,-0.00000,0.00000
143,-0.00000,0.00000
144,-0.00000,0.00000
145,-0.00000,0.00000
146,-0.00000,0.00000
147,-0.00000,0.00000
148,-0.00000,0.00000
149,-0.00000,0.00000
150,-0.00000,0.00000
151,-0.00000,0.00000
152,-0.00000,0.00000
153,-0.00000,0.00000
154,-0.00000,0.00000
155,-0.00000,0.00000
156,-0.00000,0.00000
157,-0.00000,0.00000
158,-0.00000,0.00000
159,-0.00000,0.00000
160,-0.00000,0.00000
161,-0.00000,0.00000
162,-0.00000,0.00000
163,-0.00000,0.00000
164,-0.00000,0.00000
165,-0.00000,0.00000
166,-0.00000,0.00000
167,0.00000,0.00000
168,0.00000,0.00000
169,0.00000,0.00000
170,0.00000,0.00000
171,0.00000,0.00000
172,0.00000,0.00000
173,0.00000,0.00000
174,0.00000,0.00000
175,0.00000,0.00000
176,0.00000,0.00000
177,0.00000,0.00000
178,0.00000,0.00000
179,0.00000,0.00000
180,0.00000,0.00000
181,0.00000,0.00000
182,0.00000,0.00000
183,0.00000,0.00000
184,0.00000,0.00000
185,0.00000,0.00000
186,0.00000,0.00000
187,0.00000,0.00000
188,0.00000,0.00000
189,0.00000,0.00000
190,0.00000,0.00000
191,0.00000,0.00000
192,0.00000,0.00000
193,0.00000,0.00000
194,0.00000,0.00000
195,0.00000,0.00000
196,0.00000,0.00000
197,0.00000,0.00000
198,0.00000,0.00000
199,0.00000,0.00000
